fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_type
6.67,0.339,0.288,4.16,0.0668,21.4,99.4,0.995627,2.834,0.33,10.54,6,white
6.48,0.368,0.036,10.84,0.0849,24.6,72.7,0.994838,3.385,0.349,10.18,5,white
6.25,0.125,0.2,0.9,0.0598,49.4,249.5,0.991214,3.191,0.602,10.34,6,white
6.82,0.813,0.417,4.84,0.1026,1.0,6.0,0.997717,3.348,0.5,10.89,4,red
5.76,0.253,0.284,6.23,0.0167,12.1,51.6,0.992166,3.283,0.488,10.51,5,white
6.71,0.271,0.159,0.97,0.0614,54.7,150.0,0.997141,3.356,0.345,11.58,6,white
7.21,0.259,0.333,2.23,0.0812,19.0,101.8,0.994169,3.105,0.581,9.3,5,white
7.79,0.202,0.294,2.41,0.1591,14.5,75.9,0.995558,3.42,0.791,12.23,6,red
6.0,-0.022,0.434,2.67,0.0721,43.3,133.1,0.996067,3.304,0.457,9.89,6,white
7.35,0.252,0.3,0.9,0.0756,26.3,117.9,0.997203,3.193,0.796,9.5,6,red
8.51,0.237,0.0,3.25,0.0766,33.3,162.7,0.996377,3.414,0.662,10.84,5,red
5.97,0.132,0.192,9.57,0.0208,41.6,119.3,0.99619,3.301,0.439,10.91,6,white
5.76,0.327,0.642,8.08,0.0461,57.5,243.6,0.995887,3.236,0.413,8.32,5,white
10.88,0.529,0.324,6.52,0.0849,18.9,95.4,0.998181,3.257,0.823,9.82,5,red
7.24,0.238,0.313,0.9,0.0395,1.0,6.0,0.99613,3.037,0.348,8.0,5,white
7.02,0.203,0.295,0.9,0.0781,71.2,290.0,0.993358,3.337,0.479,9.59,5,white
8.72,0.367,0.0,1.23,0.0854,23.5,62.1,0.99781,3.274,0.348,9.64,5,red
6.54,0.2,0.239,21.59,0.0524,16.7,87.6,0.99456,3.353,0.444,10.76,6,white
7.84,0.514,0.642,0.9,0.024,15.2,82.6,0.998654,3.224,0.554,9.45,4,red
8.02,0.609,0.229,2.88,0.0491,3.4,10.0,0.993612,3.524,0.578,9.74,6,red
6.63,0.315,0.25,5.42,0.1211,15.1,57.3,0.99575,3.279,0.428,11.96,6,red
6.95,0.265,0.074,18.34,0.01,25.3,110.5,0.996036,3.296,0.432,12.88,6,white
7.74,0.728,0.274,4.22,0.0445,21.1,109.2,0.997033,3.267,0.614,9.29,5,red
7.97,0.705,0.229,0.9,0.0593,32.8,97.6,0.996772,3.457,0.97,11.62,6,red
7.61,0.233,0.3,2.7,0.036,8.4,29.4,0.999102,3.22,0.473,10.87,6,white
6.23,0.311,0.314,5.05,0.0275,55.9,273.8,0.993242,3.297,0.366,8.31,4,white
7.45,0.126,0.47,28.29,0.0673,38.7,144.5,0.995315,3.111,0.382,9.45,5,white
4.94,0.302,0.237,35.19,0.0675,54.0,232.8,0.994098,3.417,0.436,8.0,5,white
6.1,0.278,0.204,1.71,0.1233,17.0,71.1,0.994464,3.315,0.486,10.79,6,red
9.64,0.505,0.444,1.63,0.1493,13.4,72.8,0.99679,3.293,0.434,9.11,5,red
8.19,0.335,0.399,20.88,0.0428,29.7,86.9,0.992449,3.129,0.519,10.56,7,white
5.86,0.321,0.283,5.9,0.0154,35.3,188.5,0.991285,3.094,0.431,13.49,6,white
10.42,0.514,0.071,0.9,0.1341,14.0,58.5,0.995884,3.393,0.663,12.31,6,red
9.61,0.49,0.542,0.9,0.1608,7.2,37.6,0.99721,3.336,0.499,9.48,5,red
8.22,0.72,0.36,2.02,0.01,1.0,6.0,0.993533,3.521,0.686,9.19,5,red
8.11,0.42,0.086,2.37,0.1253,18.3,80.9,0.996662,3.265,0.419,11.95,6,red
6.91,0.048,0.273,1.11,0.0727,33.8,169.5,0.996927,3.047,0.344,9.19,7,white
5.61,0.126,0.522,11.11,0.0507,33.2,161.6,0.991312,3.033,0.555,11.59,5,white
9.1,0.325,0.276,1.15,0.1612,14.6,36.8,0.994468,3.263,0.598,13.68,8,red
7.82,0.317,0.283,9.42,0.0642,20.1,77.5,0.995516,3.342,0.33,11.21,6,white
7.22,0.245,0.252,8.35,0.0649,50.4,143.5,0.997878,3.269,0.562,11.82,6,white
11.47,0.54,0.449,1.21,0.0532,7.1,20.9,0.996852,3.163,0.33,11.68,7,red
8.88,0.759,0.369,2.66,0.134,19.1,88.0,0.995436,3.54,0.716,9.73,5,red
7.26,0.3,0.31,6.11,0.0385,34.4,184.5,0.992017,3.289,0.595,10.75,6,white
9.31,0.234,0.067,0.9,0.1681,9.1,40.0,0.999062,3.511,0.62,9.25,5,red
6.35,0.435,0.371,0.9,0.0547,59.3,166.5,0.991286,3.224,0.544,11.95,6,white
8.03,0.262,0.323,5.48,0.0165,38.3,123.8,0.991678,3.356,0.54,9.1,5,white
7.85,0.286,0.474,0.9,0.0522,49.3,179.3,0.99,2.936,0.453,11.24,6,white
7.34,0.141,0.481,4.87,0.0112,37.5,107.7,0.991973,3.489,0.58,11.76,7,white
6.13,0.244,0.394,2.8,0.0292,26.4,133.1,0.99615,3.168,0.343,9.81,5,white
5.98,0.298,0.495,2.76,0.0355,32.6,100.5,0.994226,2.949,0.475,9.53,4,white
9.08,0.623,0.133,0.9,0.0151,28.6,82.7,0.996714,3.282,0.48,10.2,5,red
6.85,0.231,0.413,2.89,0.0333,44.7,208.9,0.99,3.205,0.645,9.33,5,white
5.39,0.313,0.451,8.51,0.0214,36.8,106.0,0.997151,3.086,0.437,10.59,6,white
7.2,0.431,0.452,6.55,0.053,21.5,80.2,0.995535,2.883,0.596,9.3,5,white
7.83,0.294,0.44,0.9,0.0402,31.2,126.4,0.993961,3.205,0.468,9.39,5,white
9.94,0.443,0.277,2.21,0.0582,16.8,46.2,0.997697,3.452,0.637,11.06,5,red
6.26,0.342,0.565,0.9,0.0227,31.9,132.8,0.992528,3.288,0.402,11.14,6,white
6.16,0.388,0.265,5.44,0.0496,35.0,138.0,0.995301,3.03,0.57,10.05,5,white
7.04,0.219,0.311,6.32,0.0993,65.7,290.0,0.993914,3.529,0.48,8.42,6,white
6.68,0.259,0.304,12.01,0.0397,57.9,182.9,0.994576,3.267,0.36,11.81,6,white
7.15,0.26,0.286,2.83,0.0491,17.4,62.2,0.996056,3.22,0.473,9.86,6,white
7.28,0.335,0.091,2.83,0.01,38.4,172.1,0.994464,3.283,0.635,12.87,6,white
7.23,0.526,0.122,0.9,0.0471,7.8,20.3,0.997462,3.578,0.342,10.24,4,red
9.83,0.335,0.141,3.85,0.1616,1.0,6.0,0.996012,3.255,0.821,10.56,6,red
6.98,0.368,0.35,13.33,0.0377,32.2,107.8,0.990332,3.457,0.534,9.88,5,white
6.51,0.224,0.159,4.56,0.0585,29.0,81.7,0.995432,3.142,0.33,10.69,5,white
6.72,0.369,0.404,1.84,0.0543,66.8,175.0,0.996047,3.181,0.662,14.57,6,white
5.79,0.532,0.398,2.95,0.0896,7.5,40.9,0.995096,3.435,0.667,9.98,5,red
8.16,0.568,0.336,0.9,0.1062,24.8,96.1,0.99444,3.265,0.433,11.93,6,red
6.15,0.256,0.016,8.04,0.0313,24.6,101.0,0.997924,3.159,0.927,10.51,6,red
7.14,0.351,0.246,8.75,0.0282,49.0,160.0,0.994633,3.002,0.673,11.81,5,white
6.71,0.191,0.261,2.8,0.05,55.1,139.1,0.995138,3.577,0.638,8.08,5,white
6.6,0.3,0.351,11.95,0.0795,17.1,81.3,0.995318,2.984,0.431,12.73,7,white
9.12,0.46,0.064,0.9,0.1036,24.8,115.8,0.994194,3.368,0.582,10.81,5,red
7.87,0.147,0.232,17.11,0.0482,42.7,231.2,0.991238,3.064,0.39,10.08,6,white
6.54,0.327,0.211,0.9,0.0484,35.3,90.6,1.003678,3.085,0.468,11.48,5,white
11.56,0.565,0.0,1.66,0.1453,1.0,6.0,0.997118,3.31,0.804,10.57,6,red
7.34,0.237,0.395,1.88,0.071,30.1,139.6,0.995157,3.109,0.506,9.02,5,white
5.8,0.284,0.506,8.88,0.0361,66.7,232.7,0.990415,3.338,0.458,8.0,4,white
8.19,0.805,0.247,0.9,0.0407,45.1,121.4,0.994912,3.252,0.82,12.59,7,red
9.57,0.321,0.318,6.39,0.1221,12.6,42.9,0.995405,3.403,0.467,10.13,6,red
7.03,0.287,0.471,1.27,0.0842,56.1,155.0,0.994098,3.353,0.426,9.66,5,white
6.34,0.198,0.567,15.2,0.056,49.1,246.4,0.996919,3.266,0.495,9.76,5,white
6.7,0.337,0.211,1.43,0.0485,17.3,88.8,0.992729,3.209,0.631,12.16,6,white
7.67,0.204,0.241,3.11,0.0346,50.5,222.6,0.99,3.231,0.373,9.81,5,white
9.62,0.772,0.535,0.91,0.1049,5.8,21.0,0.995062,3.215,0.55,11.17,5,red
5.63,0.269,0.261,4.9,0.0389,1.0,6.0,0.994092,2.928,0.514,10.0,5,white
8.11,0.163,0.239,31.7,0.0475,11.1,48.9,0.992561,3.299,0.531,8.89,5,white
7.36,0.755,0.196,1.77,0.0465,13.3,64.9,1.000626,3.449,0.682,11.48,6,red
6.68,0.395,0.516,29.72,0.0581,32.7,132.0,0.99522,3.314,0.411,11.72,5,white
6.76,0.59,0.476,0.9,0.0971,8.3,44.6,1.000472,3.246,0.688,9.58,5,red
6.55,0.681,0.187,0.9,0.1152,10.9,36.6,0.995317,3.399,0.475,10.35,5,red
7.19,0.615,0.202,3.68,0.1426,5.0,21.6,0.99354,3.359,0.785,10.52,5,red
5.63,0.238,0.371,0.9,0.0669,27.3,134.2,1.00018,2.936,0.343,10.93,6,white
7.88,0.655,0.42,1.31,0.0559,21.4,111.1,0.99831,3.482,0.659,12.77,6,red
7.03,0.512,0.19,6.24,0.01,12.7,67.8,0.99299,3.211,0.55,10.01,6,red
6.81,0.307,0.294,3.62,0.037,5.8,21.3,0.994773,3.27,0.601,10.0,6,white
7.33,0.51,0.372,2.34,0.0787,25.2,116.1,0.995069,3.152,0.509,10.19,5,red
5.99,0.108,0.309,2.62,0.0551,5.7,19.3,0.992603,3.319,0.531,9.27,6,white
8.22,0.198,0.393,7.88,0.01,29.7,132.0,0.996616,3.13,0.461,8.33,5,white
9.99,0.284,0.29,3.83,0.0461,11.3,34.6,0.99515,3.162,1.107,10.56,5,red
8.82,0.479,0.148,1.0,0.1586,7.1,26.6,0.99706,3.322,0.451,11.03,6,red
7.0,0.46,0.163,3.09,0.0352,22.6,119.1,0.991112,3.143,0.415,10.4,5,white
6.35,0.723,0.562,2.94,0.0277,11.3,55.7,0.995847,3.27,0.552,10.32,5,red
6.79,0.382,0.231,0.9,0.0662,14.3,56.9,0.99417,3.265,0.368,9.32,6,red
6.93,0.212,0.323,1.7,0.0677,58.1,171.0,0.997264,3.18,0.5,10.7,6,white
7.03,0.197,0.146,3.17,0.0246,32.8,121.2,0.991889,3.152,0.339,10.6,6,white
7.91,0.202,0.247,1.9,0.0873,1.0,6.0,0.99173,3.084,0.363,10.97,6,white
7.06,0.429,0.197,3.93,0.0586,50.2,135.8,0.997984,3.169,0.575,10.79,6,white
6.3,0.256,0.508,8.98,0.0243,27.2,141.9,0.992122,3.213,0.398,10.87,6,white
6.85,0.269,0.211,10.15,0.0457,30.3,120.6,0.99,3.025,0.416,11.98,5,white
5.46,0.357,0.176,21.07,0.0661,40.7,112.7,0.99088,3.253,0.5,11.09,8,white
4.94,0.114,0.36,2.78,0.0318,10.8,50.1,0.99657,3.116,0.388,10.98,5,white
7.47,0.285,0.532,1.73,0.0481,36.3,98.7,0.996282,3.22,0.612,8.31,5,white
6.5,0.17,0.316,1.33,0.052,44.1,162.6,0.991712,3.09,0.352,11.66,6,white
10.38,0.572,0.057,0.9,0.073,13.7,43.8,0.996568,3.555,0.931,10.04,6,red
7.46,0.221,0.485,3.62,0.0391,24.8,74.3,0.996019,3.333,0.408,10.5,5,white
7.92,0.216,0.435,13.32,0.0224,51.9,212.7,0.997948,3.033,0.507,8.87,5,white
7.87,0.707,0.529,1.33,0.16,1.0,6.0,0.993972,3.375,0.765,12.91,6,red
9.4,0.551,0.181,0.9,0.0677,27.5,108.9,0.995668,3.591,0.665,8.0,4,red
7.2,0.258,0.385,2.0,0.0514,32.7,162.2,0.99662,3.048,0.624,12.19,6,white
10.95,0.567,0.113,10.43,0.1366,23.8,124.8,0.996787,3.247,0.676,10.91,5,red
9.11,0.225,0.249,1.94,0.1442,25.8,126.8,0.997064,3.106,0.788,8.11,5,red
8.89,0.601,0.511,3.0,0.0346,4.2,22.5,0.996455,3.04,0.33,12.84,6,red
8.69,0.559,0.209,0.9,0.08,5.7,30.1,0.9978,3.279,0.6,11.02,6,red
4.84,0.232,0.382,1.57,0.049,36.3,181.3,0.996483,3.038,0.48,8.0,4,white
6.35,0.639,0.478,11.56,0.0508,14.3,48.3,0.996608,3.491,0.702,9.89,5,red
11.26,0.494,0.164,9.99,0.1051,8.4,25.4,0.994693,3.23,0.469,11.04,5,red
6.17,0.467,0.248,6.15,0.0413,39.1,183.0,0.994366,3.147,0.621,12.46,6,white
6.39,0.477,0.0,2.41,0.0616,13.6,68.4,0.996852,3.28,0.949,9.91,7,red
7.37,0.574,0.381,2.04,0.0822,30.1,149.5,0.994303,3.393,0.628,8.0,5,red
7.68,0.372,0.3,5.18,0.0391,37.0,164.1,0.99709,3.061,0.332,12.15,5,white
6.25,0.233,0.542,9.96,0.0432,46.6,232.7,0.991088,2.979,0.33,11.0,6,white
6.42,0.308,0.378,0.9,0.0286,28.1,129.9,0.993555,2.973,0.608,8.0,5,white
5.78,0.219,0.356,2.66,0.0829,3.9,17.7,0.990354,3.294,0.606,10.81,6,white
7.36,0.408,0.208,1.29,0.0168,1.0,6.0,0.99468,3.305,0.756,10.94,5,white
7.49,0.687,0.815,0.9,0.1797,42.8,166.0,0.998227,3.465,0.654,10.01,4,red
5.23,0.42,0.183,2.71,0.0474,43.8,113.9,0.997208,3.001,0.543,9.41,6,white
6.88,0.175,0.128,5.75,0.0395,57.1,158.5,0.993986,3.155,0.377,9.67,6,white
7.92,0.274,0.323,2.79,0.1311,11.1,45.6,0.994415,3.279,0.69,10.01,5,red
7.57,0.42,0.376,1.19,0.01,17.1,45.2,0.99326,3.145,0.435,10.83,7,white
9.67,0.537,0.119,3.2,0.01,12.5,65.6,0.993757,3.376,0.828,11.35,5,red
6.5,0.507,0.348,4.72,0.0239,58.1,223.9,0.99,3.187,0.417,8.0,5,white
8.39,0.253,0.506,1.87,0.0819,12.7,58.5,0.992117,3.269,0.494,10.71,5,white
6.81,0.306,0.565,4.42,0.0948,70.7,208.2,0.994108,3.267,0.582,10.99,6,white
8.7,0.918,0.037,8.54,0.0762,19.8,99.7,0.994521,3.274,0.809,10.6,5,red
6.37,0.129,0.309,3.44,0.0141,71.3,280.5,0.995472,3.102,0.566,9.91,6,white
7.35,0.116,0.419,1.97,0.0612,41.5,173.2,0.993831,3.146,0.54,12.1,7,white
7.07,0.571,0.659,1.91,0.1202,4.9,21.9,0.991908,3.393,0.62,12.01,6,red
7.06,0.378,0.234,0.9,0.0703,23.9,98.3,0.996035,3.812,0.621,9.96,4,red
5.83,0.119,0.508,9.45,0.0312,50.4,211.3,0.993691,3.461,0.549,10.3,6,white
6.75,0.909,0.259,2.79,0.0156,13.2,62.5,0.999122,3.36,0.404,11.33,5,red
7.8,0.333,0.266,5.85,0.0372,16.3,80.1,0.994528,3.137,0.503,11.94,6,white
6.31,0.481,0.287,8.36,0.0161,30.2,103.1,0.99,3.142,0.372,9.42,6,white
5.76,0.729,0.346,0.9,0.1302,16.5,86.9,0.996486,3.33,0.676,9.14,6,red
8.01,0.316,0.197,3.9,0.0674,56.1,199.8,0.995468,3.255,0.374,10.73,6,white
5.97,0.377,0.296,0.96,0.0731,9.1,30.2,0.995596,3.015,0.362,9.05,5,red
7.6,0.334,0.393,2.37,0.0478,36.6,125.8,1.001048,3.361,0.416,8.07,4,white
7.22,0.234,0.356,0.9,0.01,51.7,184.9,0.992715,3.28,0.402,9.42,5,white
11.28,0.543,0.0,0.9,0.0663,10.2,35.3,0.998512,3.573,0.66,10.9,6,red
7.4,0.223,0.291,3.89,0.0299,38.5,193.9,0.995567,3.09,0.33,12.26,5,white
8.27,0.276,0.413,4.66,0.0697,41.5,173.8,0.99961,3.353,0.33,9.55,5,white
6.29,0.298,0.457,3.48,0.0484,17.7,95.7,0.998598,3.166,0.578,10.25,6,white
7.37,0.548,0.639,0.9,0.1337,25.2,69.4,0.994396,3.321,0.555,10.59,5,red
5.99,0.258,0.381,5.63,0.01,56.5,245.2,0.993578,3.343,0.41,9.62,5,white
7.6,0.283,0.443,0.97,0.0928,3.2,8.9,0.996551,3.081,0.597,9.53,5,white
8.48,0.513,0.0,0.9,0.0748,12.5,48.3,0.993232,3.287,0.995,10.8,6,red
6.37,0.443,0.651,1.38,0.064,23.1,84.2,0.995776,2.813,0.426,8.96,5,white
8.07,0.469,0.569,0.9,0.1398,8.9,40.4,0.993126,3.278,0.794,9.48,4,red
6.26,0.189,0.319,7.49,0.0499,36.3,172.0,0.995749,3.364,0.7,10.16,6,white
8.45,0.487,0.579,1.79,0.1052,1.0,6.0,0.996863,3.209,0.607,10.79,5,red
6.75,0.349,0.299,0.9,0.0345,31.5,97.0,0.991204,3.28,0.512,8.58,5,white
8.97,0.243,0.23,3.83,0.1572,23.3,87.6,0.998332,3.391,0.889,10.24,5,red
6.91,0.517,0.033,0.9,0.0747,8.0,25.7,0.995735,3.27,0.723,8.85,5,red
7.61,0.42,0.246,0.9,0.0339,30.1,136.5,0.991774,3.191,0.425,9.58,5,white
7.07,0.126,0.473,18.31,0.0471,12.7,51.6,0.996775,3.227,0.54,11.35,6,white
7.27,0.335,0.163,3.4,0.0171,17.4,86.7,0.996439,3.496,0.49,10.31,5,white
6.93,0.409,0.134,0.9,0.0522,13.0,70.9,0.996553,3.386,0.733,12.4,6,white
9.45,0.456,0.246,2.7,0.1531,19.9,72.5,0.996263,3.169,0.713,10.31,6,red
7.17,0.07,0.229,6.96,0.01,43.2,226.4,0.993969,3.311,0.594,11.56,7,white
8.65,0.389,0.0,5.83,0.1548,27.6,133.5,0.99803,3.391,0.533,11.35,6,red
7.9,0.532,0.781,0.9,0.0953,34.1,100.4,0.998752,3.144,0.686,10.38,5,red
7.43,0.332,0.239,6.76,0.0638,33.0,165.1,0.997347,2.96,0.526,8.82,5,white
7.72,0.321,0.331,2.28,0.0513,30.1,118.7,0.997059,3.0,0.458,10.27,5,white
9.19,0.578,0.435,3.08,0.1548,14.6,67.4,0.994273,3.232,0.803,9.76,4,red
9.46,0.577,0.176,1.13,0.1348,10.7,49.3,0.997002,3.411,0.711,9.71,4,red
6.15,0.36,0.329,2.81,0.0328,11.7,60.3,0.996886,3.006,0.537,10.59,6,white
9.92,0.966,0.435,1.8,0.01,17.6,84.0,0.99406,3.254,0.678,8.66,4,red
8.38,0.505,0.135,1.78,0.1251,34.3,170.4,0.998947,3.177,0.78,9.35,5,red
7.74,0.48,0.137,0.97,0.0194,26.0,90.0,0.996369,3.355,1.054,9.19,6,red
8.8,0.454,0.279,0.9,0.0886,28.6,155.3,0.99658,3.155,0.764,10.09,5,red
6.46,0.355,0.248,0.9,0.0816,3.0,13.5,0.997563,3.62,0.798,9.48,5,red
5.12,0.285,0.388,13.98,0.0452,39.9,192.2,0.995753,3.358,0.381,9.56,5,white
6.19,0.406,0.404,0.9,0.1045,7.8,39.4,0.995863,3.48,0.983,10.56,5,red
6.69,0.35,0.489,13.15,0.0229,51.4,147.7,0.99,3.169,0.565,9.87,5,white
8.66,0.289,0.103,2.44,0.052,23.0,80.6,0.9951,3.01,0.433,10.41,5,white
8.24,0.389,0.302,7.61,0.0103,34.1,170.9,0.993804,3.092,0.572,9.06,4,white
6.02,0.243,0.371,6.5,0.0693,46.5,245.1,0.998211,3.462,0.452,9.41,4,white
6.92,0.136,0.327,15.1,0.0566,52.8,251.9,0.994545,3.138,0.503,12.85,7,white
5.63,0.328,0.217,10.21,0.0808,21.0,83.0,0.996336,3.024,0.47,9.56,5,white
5.75,0.293,0.174,4.46,0.0204,47.8,155.5,0.995526,3.263,0.427,8.0,4,white
5.84,0.33,0.427,3.63,0.0699,18.3,74.6,0.997063,3.137,0.738,10.81,6,white
6.62,0.154,0.239,2.26,0.0656,1.0,6.0,0.991341,3.213,0.398,9.55,6,white
6.65,0.459,0.119,3.97,0.041,22.3,114.9,0.994596,3.053,0.33,10.69,5,white
8.5,0.869,0.243,0.9,0.01,5.2,21.9,0.99936,3.347,0.476,10.29,5,red
7.33,0.251,0.385,1.35,0.0211,34.8,127.9,0.995961,3.072,0.504,11.06,6,white
6.53,0.186,0.316,0.9,0.0154,25.9,103.5,0.994767,3.31,0.449,10.28,4,white
9.98,0.528,0.561,0.97,0.0393,7.1,37.5,0.9955,3.352,0.724,10.13,6,red
5.92,0.17,0.316,16.4,0.0174,35.4,153.5,0.992986,3.033,0.598,11.78,7,white
6.03,0.53,0.33,2.25,0.0529,20.0,63.8,0.99863,3.21,0.685,8.0,6,red
7.27,0.413,0.41,1.52,0.0868,8.1,32.4,0.996854,3.374,0.48,8.81,5,red
7.32,0.452,0.142,0.9,0.0483,33.3,129.6,0.996128,3.276,0.349,9.41,4,white
9.4,0.383,0.168,2.25,0.0401,11.1,38.0,0.999104,3.37,0.758,8.37,6,red
10.21,0.626,0.256,3.52,0.0889,9.1,42.8,0.996025,3.427,0.794,9.82,5,red
12.55,0.604,0.424,2.59,0.1031,24.0,79.2,0.996272,3.185,0.894,9.71,6,red
5.8,0.282,0.407,3.81,0.0658,28.8,114.6,0.996816,3.039,0.646,11.57,6,white
8.13,0.36,0.461,0.9,0.0352,35.1,134.4,0.995152,3.323,0.528,10.29,6,white
6.34,0.346,0.363,1.11,0.0469,35.2,137.3,0.9926,3.192,0.495,10.14,5,white
7.35,0.39,0.397,0.9,0.0385,25.5,107.3,0.995208,3.025,0.376,9.94,5,white
7.67,0.231,0.363,4.95,0.0737,24.8,113.0,0.996045,3.024,0.51,9.14,5,white
6.04,0.288,0.331,21.67,0.0912,28.3,82.8,0.994011,3.175,0.462,11.47,7,white
6.86,0.405,0.175,3.09,0.0187,40.1,134.9,0.991772,3.107,0.516,11.85,6,white
8.68,0.423,0.482,1.32,0.0483,17.8,85.7,0.995257,3.319,0.501,8.95,4,red
6.89,0.337,0.168,0.9,0.0575,1.0,6.0,0.994556,3.147,0.589,12.34,6,white
7.09,0.258,0.312,3.13,0.0685,45.6,120.1,0.99,3.235,0.504,9.59,6,white
8.51,0.467,0.164,4.05,0.1807,12.0,32.6,0.994524,3.296,0.536,9.5,5,red
6.62,0.388,0.184,0.9,0.1053,30.3,160.5,0.998963,3.506,0.734,10.97,5,red
6.41,0.201,0.339,0.9,0.0757,55.2,162.4,0.996499,3.387,0.615,11.07,6,white
5.36,0.647,0.216,4.51,0.1216,10.0,54.4,0.997668,3.258,0.426,10.31,5,red
7.54,0.294,0.202,20.84,0.0772,51.1,254.5,0.994237,3.107,0.467,9.98,6,white
9.45,0.534,0.257,2.24,0.0683,9.2,26.2,0.995316,3.244,0.912,11.81,5,red
7.08,0.437,0.196,4.63,0.0168,37.2,104.4,0.998042,3.187,0.437,9.65,5,white
9.88,0.572,0.0,2.03,0.1122,26.8,145.5,0.996542,3.353,0.629,10.32,6,red
7.35,0.309,0.31,9.45,0.0516,35.8,116.8,0.99366,2.985,0.445,12.43,6,white
8.14,0.606,0.332,1.07,0.0157,1.0,6.0,0.997552,3.649,0.644,8.8,5,red
7.79,0.727,0.113,0.9,0.099,22.5,72.3,0.994844,3.186,0.727,9.85,5,red
9.93,0.54,0.358,3.1,0.0571,28.0,120.6,0.998279,3.408,0.94,11.63,6,red
7.55,0.179,0.555,9.37,0.0283,18.5,92.8,0.995645,3.229,0.42,11.03,5,white
6.41,0.291,0.135,1.17,0.0626,38.2,170.9,0.995867,2.953,0.472,11.47,5,white
5.73,0.316,0.484,14.44,0.052,49.5,130.8,0.993311,3.123,0.452,8.81,5,white
7.95,0.208,0.774,0.9,0.1438,21.8,93.6,0.994986,3.351,0.869,10.79,7,red
6.64,0.18,0.422,1.82,0.0213,58.1,260.6,0.993314,3.21,0.496,10.06,6,white
5.83,0.202,0.29,13.99,0.01,27.7,85.9,0.994064,3.241,0.601,13.13,7,white
6.88,0.804,0.055,0.9,0.115,21.1,101.1,0.995062,3.192,0.698,11.37,5,red
7.94,0.209,0.291,2.8,0.0436,18.1,79.4,0.993188,3.234,0.493,10.37,6,white
5.5,0.413,0.245,10.03,0.0268,37.2,93.9,1.000475,3.1,0.45,10.74,6,white
7.62,0.279,0.283,0.9,0.01,35.1,187.6,0.991299,3.297,0.531,10.47,6,white
8.65,0.483,0.253,5.2,0.0585,10.1,38.7,0.999559,3.413,0.527,11.24,6,red
10.11,0.585,0.488,2.58,0.1529,12.5,40.0,0.998009,3.206,0.488,9.37,6,red
8.27,0.347,0.463,8.5,0.0293,23.4,64.6,0.99,3.205,0.516,12.04,5,white
8.58,0.331,0.006,0.9,0.0362,28.5,103.2,0.996433,3.352,0.431,8.81,4,red
9.26,0.476,0.244,3.92,0.0895,27.8,95.0,0.997761,3.235,0.538,10.65,6,red
7.41,0.153,0.157,4.91,0.0553,45.7,155.1,0.994957,3.218,0.414,9.41,5,white
5.43,0.397,0.334,5.5,0.0377,66.4,290.0,0.996969,3.246,0.421,10.45,5,white
9.21,0.672,0.044,0.9,0.0618,15.6,69.3,0.997421,3.37,0.784,11.59,6,red
8.46,0.455,0.369,1.39,0.1531,7.2,20.8,0.997423,3.249,0.535,8.35,4,red
8.29,0.211,0.317,7.74,0.068,46.5,215.2,0.991396,2.98,0.616,10.2,6,white
8.38,0.581,0.068,1.67,0.0972,29.6,138.3,0.99549,3.453,0.373,8.67,4,red
10.89,0.507,0.094,0.9,0.0975,23.9,96.7,0.998185,3.269,0.657,10.06,5,red
7.84,0.681,0.296,1.01,0.0387,28.5,156.2,0.997284,3.232,0.56,8.67,5,red
5.97,0.339,0.314,13.58,0.0254,48.6,162.9,0.996482,3.152,0.359,10.59,6,white
7.7,0.184,0.29,1.96,0.0247,39.5,105.7,0.997399,3.102,0.557,9.89,6,white
8.44,0.474,0.549,2.02,0.1562,7.3,19.0,0.995739,3.047,0.801,11.3,6,red
9.49,0.541,0.259,2.72,0.0331,17.4,60.2,0.996298,3.597,0.65,11.87,6,red
6.39,0.242,0.43,1.96,0.0552,8.8,35.2,0.996321,3.262,0.648,10.41,6,white
6.35,0.245,0.478,8.35,0.0468,28.8,78.8,0.995542,3.024,0.33,11.47,6,white
6.42,0.267,0.229,10.25,0.0515,10.1,42.4,0.997275,2.925,0.439,12.06,6,white
9.6,0.394,0.241,4.84,0.1039,21.9,113.9,0.997309,3.283,0.835,9.29,6,red
6.59,0.405,0.265,5.41,0.0288,47.1,230.6,0.99,2.987,0.727,12.12,5,white
6.51,0.481,0.154,1.7,0.0378,25.1,113.5,0.992569,2.98,0.442,10.36,5,white
6.19,0.118,0.274,10.81,0.0346,36.4,163.3,0.997832,3.425,0.345,9.23,5,white
8.25,0.737,0.258,0.9,0.01,30.0,140.8,0.997,3.239,0.717,10.76,5,red
6.99,0.35,0.205,2.88,0.0674,40.1,159.6,0.995397,3.26,0.41,10.31,5,white
9.5,0.583,0.498,0.9,0.01,1.0,6.0,0.996758,3.281,1.017,8.71,5,red
9.67,0.492,0.428,1.36,0.1496,35.8,122.6,0.997813,3.275,0.998,9.08,6,red
10.85,0.052,0.295,0.9,0.1601,19.9,55.7,0.997623,3.318,0.596,12.36,7,red
8.5,0.438,0.248,5.71,0.0146,13.5,56.3,0.995028,3.388,0.495,10.73,6,white
11.42,0.507,0.484,1.41,0.0159,3.3,13.0,0.995533,3.233,0.602,12.18,6,red
